group,id,course,semester,grade
1,65,Radiation Ecology and Environmental Science,1,13
1,65,Radiation Ecology and Environmental Science,1,11
1,65,Radiation Ecology and Environmental Science,1,12
1,65,Radiation Ecology and Environmental Science,1,12
1,65,Radiation Ecology and Environmental Science,1,13
1,65,Radiation Ecology and Environmental Science,1,14
1,65,Renewable Energy and Sustainable Living,1,12.25
1,65,Renewable Energy and Sustainable Living,1,12.75
1,65,Renewable Energy and Sustainable Living,1,17.25
1,65,Renewable Energy and Sustainable Living,1,14
1,65,Renewable Energy and Sustainable Living,1,9.5
1,65,Renewable Energy and Sustainable Living,1,17.25
1,65,Renewable Energy and Sustainable Living,1,15.25
1,65,Scavenging and Resource Management,2,12.5
1,65,Scavenging and Resource Management,2,14.5
1,65,Scavenging and Resource Management,2,17.5
1,65,Survival Skills and Wilderness Medicine,1,7
1,65,Survival Skills and Wilderness Medicine,1,6
1,65,Survival Skills and Wilderness Medicine,1,9
1,65,Survival Skills and Wilderness Medicine,1,6
1,65,Survival Skills and Wilderness Medicine,1,10
1,73,Art and Expression in a Post-Apocalyptic World,1,12
1,73,Art and Expression in a Post-Apocalyptic World,1,10
1,73,Art and Expression in a Post-Apocalyptic World,1,16.5
1,73,Combat Tactics and Self-Defense,2,12.9
1,73,Combat Tactics and Self-Defense,2,14.1
1,73,Combat Tactics and Self-Defense,2,11.7
1,73,Combat Tactics and Self-Defense,2,12.1
1,73,Combat Tactics and Self-Defense,2,5.4
1,73,Combat Tactics and Self-Defense,2,11
1,73,Combat Tactics and Self-Defense,2,9.7
1,73,Combat Tactics and Self-Defense,2,8
1,73,Combat Tactics and Self-Defense,2,15.5
1,73,Community Building and Social Organization,2,13.25
1,73,Community Building and Social Organization,2,7
1,73,Community Building and Social Organization,2,9.75
1,73,Community Building and Social Organization,2,7.75
1,73,Community Building and Social Organization,2,9
1,73,Community Building and Social Organization,2,13.75
1,73,Mechanical Engineering and Vehicle Repair,1,10
1,73,Mechanical Engineering and Vehicle Repair,1,15
1,73,Mechanical Engineering and Vehicle Repair,1,10
1,73,Mechanical Engineering and Vehicle Repair,1,9
1,73,Mechanical Engineering and Vehicle Repair,1,13
1,73,Mechanical Engineering and Vehicle Repair,1,10
1,73,Mechanical Engineering and Vehicle Repair,1,15
1,73,Mechanical Engineering and Vehicle Repair,1,8
1,73,Moral Philosophy and Ethical Decision-Making,2,13.5
1,73,Moral Philosophy and Ethical Decision-Making,2,11.5
1,73,Moral Philosophy and Ethical Decision-Making,2,11.5
1,73,Moral Philosophy and Ethical Decision-Making,2,9
1,73,Post-Apocalyptic History and Archaeology,2,9.75
1,73,Post-Apocalyptic History and Archaeology,2,13.5
1,73,Post-Apocalyptic History and Archaeology,2,9.5
1,73,Post-Apocalyptic History and Archaeology,2,9.5
1,73,Radiation Ecology and Environmental Science,1,12
1,73,Radiation Ecology and Environmental Science,1,11
1,73,Radiation Ecology and Environmental Science,1,12
1,73,Radiation Ecology and Environmental Science,1,12
1,73,Radiation Ecology and Environmental Science,1,11
1,73,Radiation Ecology and Environmental Science,1,11
1,73,Radiation Ecology and Environmental Science,1,10
1,73,Radiation Ecology and Environmental Science,1,13
1,73,Radiation Ecology and Environmental Science,1,15
1,73,Renewable Energy and Sustainable Living,1,14.25
1,73,Renewable Energy and Sustainable Living,1,18.25
1,73,Renewable Energy and Sustainable Living,1,14.5
1,73,Renewable Energy and Sustainable Living,1,9.25
1,73,Renewable Energy and Sustainable Living,1,18.75
1,73,Renewable Energy and Sustainable Living,1,15
1,73,Renewable Energy and Sustainable Living,1,18.5
1,73,Scavenging and Resource Management,2,11.5
1,73,Scavenging and Resource Management,2,20
1,73,Scavenging and Resource Management,2,8.5
1,73,Survival Skills and Wilderness Medicine,1,9
1,73,Survival Skills and Wilderness Medicine,1,8
1,73,Survival Skills and Wilderness Medicine,1,10
1,73,Survival Skills and Wilderness Medicine,1,10
1,73,Survival Skills and Wilderness Medicine,1,7
1,93,Art and Expression in a Post-Apocalyptic World,1,14
1,93,Art and Expression in a Post-Apocalyptic World,1,9.5
1,93,Combat Tactics and Self-Defense,2,8.5
1,93,Combat Tactics and Self-Defense,2,13.3
1,93,Combat Tactics and Self-Defense,2,13.1
1,93,Combat Tactics and Self-Defense,2,15.6
1,93,Combat Tactics and Self-Defense,2,11.4
1,93,Combat Tactics and Self-Defense,2,11.5
1,93,Combat Tactics and Self-Defense,2,11.7
1,93,Combat Tactics and Self-Defense,2,16.1
1,93,Combat Tactics and Self-Defense,2,9.8
1,93,Combat Tactics and Self-Defense,2,13
1,93,Community Building and Social Organization,2,9.25
1,93,Community Building and Social Organization,2,12.75
1,93,Community Building and Social Organization,2,11
1,93,Community Building and Social Organization,2,12.5
1,93,Community Building and Social Organization,2,9.75
1,93,Community Building and Social Organization,2,4
1,93,Mechanical Engineering and Vehicle Repair,1,8
1,93,Mechanical Engineering and Vehicle Repair,1,16
1,93,Mechanical Engineering and Vehicle Repair,1,13
1,93,Mechanical Engineering and Vehicle Repair,1,9
1,93,Mechanical Engineering and Vehicle Repair,1,17
1,93,Mechanical Engineering and Vehicle Repair,1,14
1,93,Mechanical Engineering and Vehicle Repair,1,10
1,93,Mechanical Engineering and Vehicle Repair,1,17
1,93,Moral Philosophy and Ethical Decision-Making,2,11
1,93,Moral Philosophy and Ethical Decision-Making,2,13.5
1,93,Moral Philosophy and Ethical Decision-Making,2,14.5
1,93,Moral Philosophy and Ethical Decision-Making,2,13.5
1,93,Post-Apocalyptic History and Archaeology,2,12
1,93,Post-Apocalyptic History and Archaeology,2,7.5
1,93,Post-Apocalyptic History and Archaeology,2,9.25
1,93,Radiation Ecology and Environmental Science,1,14
1,93,Radiation Ecology and Environmental Science,1,10
1,93,Radiation Ecology and Environmental Science,1,12
1,93,Radiation Ecology and Environmental Science,1,13
1,93,Radiation Ecology and Environmental Science,1,11
1,93,Radiation Ecology and Environmental Science,1,10
1,93,Radiation Ecology and Environmental Science,1,12
1,93,Radiation Ecology and Environmental Science,1,13
1,93,Radiation Ecology and Environmental Science,1,11
1,93,Renewable Energy and Sustainable Living,1,8
1,93,Renewable Energy and Sustainable Living,1,9.5
1,93,Renewable Energy and Sustainable Living,1,20
1,93,Renewable Energy and Sustainable Living,1,14.5
1,93,Renewable Energy and Sustainable Living,1,16.5
1,93,Renewable Energy and Sustainable Living,1,9.5
1,93,Renewable Energy and Sustainable Living,1,16.25
1,93,Scavenging and Resource Management,2,13.5
1,93,Scavenging and Resource Management,2,13.5
1,93,Scavenging and Resource Management,2,12
1,93,Survival Skills and Wilderness Medicine,1,9
1,93,Survival Skills and Wilderness Medicine,1,10
1,93,Survival Skills and Wilderness Medicine,1,9
1,93,Survival Skills and Wilderness Medicine,1,12
1,93,Survival Skills and Wilderness Medicine,1,10
1,97,Art and Expression in a Post-Apocalyptic World,1,15.5
1,97,Art and Expression in a Post-Apocalyptic World,1,13
1,97,Art and Expression in a Post-Apocalyptic World,1,16
1,97,Combat Tactics and Self-Defense,2,6.2
1,97,Combat Tactics and Self-Defense,2,7.3
1,97,Combat Tactics and Self-Defense,2,11.2
1,97,Combat Tactics and Self-Defense,2,6.2
1,97,Combat Tactics and Self-Defense,2,11.6
1,97,Combat Tactics and Self-Defense,2,8.3
1,97,Combat Tactics and Self-Defense,2,14.7
1,97,Combat Tactics and Self-Defense,2,12
1,97,Combat Tactics and Self-Defense,2,11.5
1,97,Combat Tactics and Self-Defense,2,10
1,97,Community Building and Social Organization,2,11
1,97,Community Building and Social Organization,2,7.5
1,97,Community Building and Social Organization,2,6.75
1,97,Community Building and Social Organization,2,10.75
1,97,Community Building and Social Organization,2,10.5
1,97,Community Building and Social Organization,2,11
1,97,Community Building and Social Organization,2,14.5
1,97,Mechanical Engineering and Vehicle Repair,1,11
1,97,Mechanical Engineering and Vehicle Repair,1,13
1,97,Mechanical Engineering and Vehicle Repair,1,14
1,97,Mechanical Engineering and Vehicle Repair,1,16
1,97,Mechanical Engineering and Vehicle Repair,1,13
1,97,Mechanical Engineering and Vehicle Repair,1,11
1,97,Mechanical Engineering and Vehicle Repair,1,12
1,97,Mechanical Engineering and Vehicle Repair,1,18
1,97,Moral Philosophy and Ethical Decision-Making,2,9
1,97,Moral Philosophy and Ethical Decision-Making,2,10.5
1,97,Moral Philosophy and Ethical Decision-Making,2,12
1,97,Moral Philosophy and Ethical Decision-Making,2,14.5
1,97,Post-Apocalyptic History and Archaeology,2,5.75
1,97,Post-Apocalyptic History and Archaeology,2,9.5
1,97,Post-Apocalyptic History and Archaeology,2,14.5
1,97,Post-Apocalyptic History and Archaeology,2,11.25
1,97,Radiation Ecology and Environmental Science,1,10
1,97,Radiation Ecology and Environmental Science,1,11
1,97,Radiation Ecology and Environmental Science,1,12
1,97,Radiation Ecology and Environmental Science,1,13
1,97,Radiation Ecology and Environmental Science,1,10
1,97,Radiation Ecology and Environmental Science,1,9
1,97,Radiation Ecology and Environmental Science,1,10
1,97,Radiation Ecology and Environmental Science,1,13
1,97,Renewable Energy and Sustainable Living,1,7.5
1,97,Renewable Energy and Sustainable Living,1,12.5
1,97,Renewable Energy and Sustainable Living,1,18.75
1,97,Renewable Energy and Sustainable Living,1,12.25
1,97,Renewable Energy and Sustainable Living,1,15.25
1,97,Renewable Energy and Sustainable Living,1,16.75
1,97,Scavenging and Resource Management,2,12.5
1,97,Scavenging and Resource Management,2,9
1,97,Scavenging and Resource Management,2,17.5
1,97,Survival Skills and Wilderness Medicine,1,8
1,97,Survival Skills and Wilderness Medicine,1,6
1,97,Survival Skills and Wilderness Medicine,1,12
1,97,Survival Skills and Wilderness Medicine,1,9
1,100,Art and Expression in a Post-Apocalyptic World,1,10
1,100,Art and Expression in a Post-Apocalyptic World,1,12
1,100,Art and Expression in a Post-Apocalyptic World,1,11
1,100,Combat Tactics and Self-Defense,2,11.6
1,100,Combat Tactics and Self-Defense,2,10.7
1,100,Combat Tactics and Self-Defense,2,15.9
1,100,Combat Tactics and Self-Defense,2,15.3
1,100,Combat Tactics and Self-Defense,2,9.6
1,100,Combat Tactics and Self-Defense,2,8.1
1,100,Combat Tactics and Self-Defense,2,8.7
1,100,Combat Tactics and Self-Defense,2,13.6
1,100,Combat Tactics and Self-Defense,2,4.9
1,100,Combat Tactics and Self-Defense,2,10.4
1,100,Community Building and Social Organization,2,8
1,100,Community Building and Social Organization,2,9
1,100,Community Building and Social Organization,2,3.75
1,100,Community Building and Social Organization,2,8.75
1,100,Community Building and Social Organization,2,6.5
1,100,Community Building and Social Organization,2,9
1,100,Community Building and Social Organization,2,10
1,100,Mechanical Engineering and Vehicle Repair,1,11
1,100,Mechanical Engineering and Vehicle Repair,1,16
1,100,Mechanical Engineering and Vehicle Repair,1,16
1,100,Mechanical Engineering and Vehicle Repair,1,12
1,100,Mechanical Engineering and Vehicle Repair,1,14
1,100,Mechanical Engineering and Vehicle Repair,1,13
1,100,Mechanical Engineering and Vehicle Repair,1,13
1,100,Mechanical Engineering and Vehicle Repair,1,13
1,100,Moral Philosophy and Ethical Decision-Making,2,13.5
1,100,Moral Philosophy and Ethical Decision-Making,2,12
1,100,Moral Philosophy and Ethical Decision-Making,2,13.5
1,100,Moral Philosophy and Ethical Decision-Making,2,11
1,100,Post-Apocalyptic History and Archaeology,2,8.5
1,100,Post-Apocalyptic History and Archaeology,2,7.25
1,100,Post-Apocalyptic History and Archaeology,2,9.75
1,100,Radiation Ecology and Environmental Science,1,13
1,100,Radiation Ecology and Environmental Science,1,11
1,100,Radiation Ecology and Environmental Science,1,16
1,100,Radiation Ecology and Environmental Science,1,12
1,100,Radiation Ecology and Environmental Science,1,7
1,100,Radiation Ecology and Environmental Science,1,12
1,100,Radiation Ecology and Environmental Science,1,14
1,100,Radiation Ecology and Environmental Science,1,11
1,100,Radiation Ecology and Environmental Science,1,11
1,100,Renewable Energy and Sustainable Living,1,17.5
1,100,Renewable Energy and Sustainable Living,1,16.5
1,100,Renewable Energy and Sustainable Living,1,9.25
1,100,Renewable Energy and Sustainable Living,1,17
1,100,Renewable Energy and Sustainable Living,1,11.5
1,100,Renewable Energy and Sustainable Living,1,5.75
1,100,Renewable Energy and Sustainable Living,1,9.25
1,100,Scavenging and Resource Management,2,7.5
1,100,Scavenging and Resource Management,2,13.5
1,100,Scavenging and Resource Management,2,15.5
1,100,Survival Skills and Wilderness Medicine,1,7
1,100,Survival Skills and Wilderness Medicine,1,9
1,100,Survival Skills and Wilderness Medicine,1,10
1,100,Survival Skills and Wilderness Medicine,1,4
1,100,Survival Skills and Wilderness Medicine,1,7
1,120,Art and Expression in a Post-Apocalyptic World,1,10.5
1,120,Art and Expression in a Post-Apocalyptic World,1,12.5
1,120,Art and Expression in a Post-Apocalyptic World,1,17.5
1,120,Combat Tactics and Self-Defense,2,15.6
1,120,Combat Tactics and Self-Defense,2,13.5
1,120,Combat Tactics and Self-Defense,2,18.7
1,120,Combat Tactics and Self-Defense,2,11.3
1,120,Combat Tactics and Self-Defense,2,10.8
1,120,Combat Tactics and Self-Defense,2,15.2
1,120,Combat Tactics and Self-Defense,2,13.6
1,120,Combat Tactics and Self-Defense,2,12.4
1,120,Combat Tactics and Self-Defense,2,10.8
1,120,Community Building and Social Organization,2,8.25
1,120,Community Building and Social Organization,2,11.25
1,120,Community Building and Social Organization,2,13.5
1,120,Community Building and Social Organization,2,12.25
1,120,Community Building and Social Organization,2,9.75
1,120,Community Building and Social Organization,2,10.75
1,120,Community Building and Social Organization,2,13
1,120,Mechanical Engineering and Vehicle Repair,1,16
1,120,Mechanical Engineering and Vehicle Repair,1,15
1,120,Mechanical Engineering and Vehicle Repair,1,9
1,120,Mechanical Engineering and Vehicle Repair,1,9
1,120,Mechanical Engineering and Vehicle Repair,1,11
1,120,Mechanical Engineering and Vehicle Repair,1,10
1,120,Mechanical Engineering and Vehicle Repair,1,6
1,120,Mechanical Engineering and Vehicle Repair,1,16
1,120,Moral Philosophy and Ethical Decision-Making,2,12
1,120,Moral Philosophy and Ethical Decision-Making,2,11.5
1,120,Moral Philosophy and Ethical Decision-Making,2,11.5
1,120,Moral Philosophy and Ethical Decision-Making,2,12
1,120,Post-Apocalyptic History and Archaeology,2,11
1,120,Post-Apocalyptic History and Archaeology,2,9.75
1,120,Post-Apocalyptic History and Archaeology,2,7.25
1,120,Post-Apocalyptic History and Archaeology,2,10.25
1,120,Radiation Ecology and Environmental Science,1,12
1,120,Radiation Ecology and Environmental Science,1,12
1,120,Radiation Ecology and Environmental Science,1,14
1,120,Radiation Ecology and Environmental Science,1,16
1,120,Radiation Ecology and Environmental Science,1,12
1,120,Radiation Ecology and Environmental Science,1,12
1,120,Radiation Ecology and Environmental Science,1,11
1,120,Radiation Ecology and Environmental Science,1,13
1,120,Renewable Energy and Sustainable Living,1,7.5
1,120,Renewable Energy and Sustainable Living,1,10.25
1,120,Renewable Energy and Sustainable Living,1,11.5
1,120,Renewable Energy and Sustainable Living,1,9.25
1,120,Renewable Energy and Sustainable Living,1,9.75
1,120,Renewable Energy and Sustainable Living,1,10.75
1,120,Scavenging and Resource Management,2,13
1,120,Scavenging and Resource Management,2,20
1,120,Scavenging and Resource Management,2,14.5
1,120,Survival Skills and Wilderness Medicine,1,9
1,120,Survival Skills and Wilderness Medicine,1,10
1,120,Survival Skills and Wilderness Medicine,1,12
1,120,Survival Skills and Wilderness Medicine,1,9
1,120,Survival Skills and Wilderness Medicine,1,10
1,128,Art and Expression in a Post-Apocalyptic World,1,14.5
1,128,Art and Expression in a Post-Apocalyptic World,1,14.5
1,128,Art and Expression in a Post-Apocalyptic World,1,17
1,128,Combat Tactics and Self-Defense,2,13.7
1,128,Combat Tactics and Self-Defense,2,8.4
1,128,Combat Tactics and Self-Defense,2,11.6
1,128,Combat Tactics and Self-Defense,2,7.6
1,128,Combat Tactics and Self-Defense,2,9
1,128,Combat Tactics and Self-Defense,2,14.3
1,128,Combat Tactics and Self-Defense,2,15.5
1,128,Combat Tactics and Self-Defense,2,11.3
1,128,Combat Tactics and Self-Defense,2,9
1,128,Combat Tactics and Self-Defense,2,10.1
1,128,Community Building and Social Organization,2,8.5
1,128,Community Building and Social Organization,2,13
1,128,Community Building and Social Organization,2,9.5
1,128,Community Building and Social Organization,2,14
1,128,Community Building and Social Organization,2,8.75
1,128,Community Building and Social Organization,2,10.75
1,128,Community Building and Social Organization,2,11
1,128,Mechanical Engineering and Vehicle Repair,1,14
1,128,Mechanical Engineering and Vehicle Repair,1,12
1,128,Mechanical Engineering and Vehicle Repair,1,16
1,128,Mechanical Engineering and Vehicle Repair,1,13
1,128,Mechanical Engineering and Vehicle Repair,1,8
1,128,Mechanical Engineering and Vehicle Repair,1,13
1,128,Mechanical Engineering and Vehicle Repair,1,17
1,128,Mechanical Engineering and Vehicle Repair,1,13
1,128,Moral Philosophy and Ethical Decision-Making,2,13
1,128,Moral Philosophy and Ethical Decision-Making,2,8.5
1,128,Moral Philosophy and Ethical Decision-Making,2,10
1,128,Moral Philosophy and Ethical Decision-Making,2,11.5
1,128,Post-Apocalyptic History and Archaeology,2,7
